# AEROCUBE 6A TLE list generated on 2018-09-21 15:08:40.883252
# epoch, line1, line2 
2018-02-19 05:04:39.282528, 1 40045U 14033AM  18050.21156577  .00000302  00000-0  51332-4 0  9995, 2 40045  97.8413 293.6035 0057164 212.8019 146.9637 14.75062895197135
2018-02-20 07:07:34.803840, 1 40045U 14033AM  18051.29693060  .00000300  00000-0  50934-4 0  9992, 2 40045  97.8412 294.6552 0057217 209.2391 150.5612 14.75063636197296
2018-02-21 07:32:49.337952, 1 40045U 14033AM  18052.31445993  .00000259  00000-0  45072-4 0  9996, 2 40045  97.8410 295.6411 0057274 205.9018 153.9322 14.75064154197449
2018-02-22 14:28:47.713728, 1 40045U 14033AM  18053.60333002 +.00000242 +00000-0 +42590-4 0  9990, 2 40045 097.8409 296.8900 0057344 201.6876 158.1905 14.75064933197399
2018-02-23 14:54:02.188224, 1 40045U 14033AM  18054.62085866 +.00000259 +00000-0 +44961-4 0  9997, 2 40045 097.8408 297.8759 0057414 198.3718 161.5419 14.75065667197546
2018-02-24 05:33:10.866528, 1 40045U 14033AM  18055.23137577 +.00000262 +00000-0 +45458-4 0  9998, 2 40045 097.8408 298.4675 0057460 196.3725 163.5630 14.75066078197631
2018-02-25 14:06:50.106816, 1 40045U 14033AM  18056.58807994 +.00000259 +00000-0 +45008-4 0  9991, 2 40045 097.8406 299.7820 0057554 191.9437 168.0411 14.75066950197838
2018-02-26 14:32:04.510464, 1 40045U 14033AM  18057.60560776 +.00000269 +00000-0 +46413-4 0  9991, 2 40045 097.8406 300.7679 0057628 188.6329 171.3895 14.75067588197985
2018-02-27 03:33:32.178240, 1 40045U 14033AM  18058.14828910 +.00000274 +00000-0 +47116-4 0  9995, 2 40045 097.8405 301.2937 0057672 186.8653 173.1773 14.75067930198062
2018-02-28 03:58:46.527456, 1 40045U 14033AM  18059.16581629  .00000275  00000-0  47284-4 0  9998, 2 40045  97.8404 302.2796 0057745 183.5568 176.5239 14.75068578198451
