dateTime,separation (km)
2015-06-12 00:00:00,1246.48974630989
2015-06-13 00:00:00,1242.4119138010135
2015-06-14 00:00:00,1242.6524171474882
2015-06-15 00:00:00,1249.5965307255715
2015-06-16 00:00:00,1260.7042279402197
2015-06-17 00:00:00,1275.348365563939
2015-06-18 00:00:00,1294.975087866665
2015-06-19 00:00:00,1316.377880345666
2015-06-20 00:00:00,1335.1292318542069
2015-06-21 00:00:00,1347.1265205118377
2015-06-22 00:00:00,1350.300670283539
2015-06-23 00:00:00,1346.3596215746397
2015-06-24 00:00:00,1341.881099676203
2015-06-25 00:00:00,1335.0813034588973
2015-06-26 00:00:00,1329.7183151944919
2015-06-27 00:00:00,1327.9864986080568
2015-06-28 00:00:00,1334.2637679791158
2015-06-29 00:00:00,1349.477470647248
2015-06-30 00:00:00,1372.9778390210834
